target,model,origin,horizon_step,period_index,actual,forecast,lower,upper,signed_error,absolute_error,interval_hit,interval_width,rolling_mae,rolling_bias,rolling_wape
actionable_probability_mass,exponential_smoothing,106,2,107,0.0,6.485643329314539e-09,0.0,0.5067556342539129,6.485643329314539e-09,6.485643329314539e-09,1,0.5067556342539129,0.10881104389910169,-0.10881103741345831,1.0000000298023222
actionable_probability_mass,exponential_smoothing,108,1,108,0.0,1.4401021107423115e-24,0.0,0.3578820868254255,1.4401021107423115e-24,1.4401021107423115e-24,1,0.3578820868254255,3.2428216924128454e-09,3.2428216924128454e-09,
actionable_probability_mass,exponential_smoothing,108,2,109,0.0,1.4401021107423115e-24,0.0,0.5061217009189023,1.4401021107423115e-24,1.4401021107423115e-24,1,0.5061217009189023,3.2428216924128458e-09,3.2428216924128458e-09,
actionable_probability_mass,exponential_smoothing,110,1,110,0.0,3.1976690423148024e-40,0.0,0.35743383285146174,3.1976690423148024e-40,3.1976690423148024e-40,1,0.35743383285146174,1.621410860084211e-09,1.621410860084211e-09,
actionable_probability_mass,exponential_smoothing,110,2,111,3.44480621866376,3.1976690423148024e-40,0.0,0.5054877740695352,-3.44480621866376,3.44480621866376,0,0.5054877740695352,0.86120155466594,-0.86120155466594,1.0
actionable_probability_mass,exponential_smoothing,112,1,112,1.9096506040024297,3.444806167332147,3.0855793239377274,3.804033016079464,1.5351555633297174,1.5351555633297174,0,0.7184536921417366,1.2449904454983693,-0.4774126638335106,0.9300591912353424
actionable_probability_mass,exponential_smoothing,112,2,113,3.891809400615239,3.444806167332147,2.936782693435283,3.952829648799151,-0.447003233283092,0.447003233283092,1,1.0160469553638682,1.3567412538191423,-0.5891634721542836,0.5869358381237029
actionable_probability_mass,exponential_smoothing,114,1,114,2.9955446264856245,3.4842131942777317,3.119427579841431,3.8967052270527036,0.4886685677921072,0.4886685677921072,0,0.7772776472112728,1.4789083957671691,-0.4669963302062568,0.48323190544814243
actionable_probability_mass,exponential_smoothing,114,2,115,0.912506686080536,3.4842131942777317,2.9683284309833122,4.067565021398944,2.5717065081971957,2.5717065081971957,0,1.0992365904156318,1.260633468150528,1.037131851508982,0.519339615339638
actionable_probability_mass,exponential_smoothing,116,1,116,0.5435059971769587,1.4698488190460064,1.0840822495907292,1.8671477290026877,0.9263428218690477,0.9263428218690477,0,0.7830654794119585,1.1084302827853605,0.8849286661438147,0.531406719260816
actionable_probability_mass,exponential_smoothing,116,2,117,0.5277457521369908,1.4698488190460064,0.9242925046122108,2.0317143258227923,0.9421030669090156,0.9421030669090156,0,1.1074218212105815,1.2322052411918414,1.2322052411918416,0.9898616138673666
actionable_probability_mass,exponential_smoothing,118,1,118,0.0,0.5553387909768521,0.14352875704331847,0.938263387996138,0.5553387909768521,0.5553387909768521,0,0.7947346309528195,1.2488727969880276,1.2488727969880278,2.518195309883443
actionable_probability_mass,exponential_smoothing,118,2,119,0.0,0.5553387909768521,0.0,1.0968759494477784,0.5553387909768521,0.5553387909768521,1,1.0968759494477784,0.7447808676829419,0.7447808676829419,2.78097419457159
actionable_probability_mass,exponential_smoothing,120,1,120,0.0,0.016529115286811582,0.0,0.387993147349509,0.016529115286811582,0.016529115286811582,1,0.387993147349509,0.5173274410373829,0.517327441037383,3.9210353769221546
actionable_probability_mass,exponential_smoothing,120,2,121,0.5080002896059868,0.016529115286811582,0.0,0.5418585873636725,-0.4914711743191752,0.4914711743191752,1,0.5418585873636725,0.40466946788992275,0.15893388073033526,3.1863719463923217
actionable_probability_mass,exponential_smoothing,122,1,122,0.5280101413359624,0.4203425395133105,0.0012387530298109684,0.8484664385939054,-0.10766760182265184,0.10766760182265184,1,0.8472276855640943,0.2927516706013727,-0.006817717469540727,1.1303039500681493
actionable_probability_mass,exponential_smoothing,122,2,123,0.401555825299013,0.4203425395133105,0.0,1.025801163969138,0.018786714214297506,0.018786714214297506,1,1.025801163969138,0.15861365141073402,-0.1409557366601794,0.44133938375956844
actionable_probability_mass,exponential_smoothing,124,1,124,0.0,0.42019197361531807,0.002381465804943139,0.8342197005476304,0.42019197361531807,0.42019197361531807,0,0.8318382347426873,0.25952936599286064,-0.04004002207805277,0.7221353864314934
actionable_probability_mass,exponential_smoothing,124,2,125,0.990931679097512,0.42019197361531807,0.0,1.0057156002414986,-0.5707397054821939,0.5707397054821939,1,1.0057156002414986,0.2793464987836153,-0.05985715486880744,0.5818210699801637
actionable_probability_mass,exponential_smoothing,126,1,126,0.0,0.8238862346328825,0.4057956912131774,1.2767975739470359,0.8238862346328825,0.8238862346328825,0,0.8710018827338585,0.45840115698617295,0.17303130424507612,1.3167835417951113
actionable_probability_mass,exponential_smoothing,126,2,127,0.5578843566286896,0.8238862346328825,0.23261691782879812,1.464399593243521,0.26600187800419284,0.26600187800419284,1,1.2317826754147227,0.5202049479336468,0.23483509519255,1.3434906042659498
actionable_probability_mass,exponential_smoothing,128,1,128,0.0,0.4765941519203757,0.04348575659556503,0.9223178278081549,0.4765941519203757,0.4765941519203757,0,0.8788320712125899,0.5343054925099112,0.2489356397688144,1.379906922927457
